"ID","name","level0","level1","level2","level23","level3","zoning"
"DEA21","Aachen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA22","Bonn, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA23","Köln, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA24","Leverkusen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA25","Aachen, Landkreis",0,0,0,0,1,"UE27"
"DEA26","Düren",0,0,0,0,1,"UE27"
"DEA27","Rhein-Erft-Kreis",0,0,0,0,1,"UE27"
"DEA28","Euskirchen",0,0,0,0,1,"UE27"
"DEA29","Heinsberg",0,0,0,0,1,"UE27"
"DEA2A","Oberbergischer Kreis",0,0,0,0,1,"UE27"
"DEA2B","Rheinisch-Bergischer-Kreis",0,0,0,0,1,"UE27"
"DEA2C","Rhein-Sieg-Kreis",0,0,0,0,1,"UE27"
"DEA31","Bottrop, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA32","Gelsenkirchen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA33","Münster, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA34","Borken",0,0,0,0,1,"UE27"
"DEA35","Coesfeld",0,0,0,0,1,"UE27"
"DEA36","Recklinghausen",0,0,0,0,1,"UE27"
